Transaction_ID,event_date,Scenario,Asset_Class,Sub_Asset_Class,Variable_X,Variable_Y,Underlying_Asset_Price,Option_Strike_Price,Risk_Free_Rate,Time_To_Maturity,Asset_Volatility,Return_Asset1,Return_Asset2,Return_Asset3,Weight_Asset1,Weight_Asset2,Weight_Asset3,Portfolio_Return,Cash_Flow_Period1,Cash_Flow_Period2,Cash_Flow_Period3,Bond_Yield,CashFlow_TimePeriod1,CashFlow_TimePeriod2,CashFlow_TimePeriod3,Probability_Default,Loss_Given_Default,Exposure_At_Default,Bid_Price,Ask_Price,Base_Asset_Value,Stressed_Asset_Value,Stress_Exposure,Gross_Income,Asset_Risk_Weight,Additional_Liquidity_Risk,Time_Series_Lag_Value,Current_Time_Series_Value
2415,05/01/2011,Monte Carlo,Commodity,Government Bond,5.9022,9.7832,118.5865,105.2891,0.0394,1.7472,0.1906,0.0483,0.0579,0.0389,0.2807,0.3085,0.3827,0.0553,4.927,8.3487,104.3717,0.0481,3.0823,2.144,3.1908,0.0492,0.6726,1210.518,108.4041,116.776,119.4709,110.7169,151.2996,520862.4914,0.2138,0.0856,11.7383,14.7957
2416,20/07/2000,Stressed,Commodity,Municipal Bond,5.8133,10.4085,102.4133,135.4312,0.0257,1.9337,0.2413,0.105,0.0889,0.0472,0.3754,0.1968,0.4063,0.0415,4.7921,5.1407,110.7274,0.0417,0.9219,2.0354,1.9536,0.0393,0.6755,957.0501,92.2895,100.3964,92.6137,102.9964,154.3207,583279.3767,0.2342,0.0569,10.4114,12.6473
2417,10/08/2015,Base,Equity,Corporate Bond,3.9629,6.2901,112.7601,99.1453,0.0384,1.9532,0.281,0.0844,0.0386,0.0311,0.234,0.4356,0.27,0.0442,5.664,5.547,106.8369,0.0461,3.2857,2.918,1.0787,0.019,0.6301,1143.6105,102.6421,111.9797,112.4615,97.1505,130.3756,690192.671,0.2877,0.056,10.4098,11.6368
2418,12/04/2022,Base,Derivative,Large Cap,5.4928,8.6437,95.9788,102.7346,0.0222,2.4264,0.2221,0.0485,0.0699,0.0259,0.4241,0.4151,0.1835,0.0334,7.674,7.5445,105.7119,0.0347,2.9702,1.8781,2.7847,0.0159,0.5168,861.9605,100.7066,99.2396,113.8651,106.0516,129.7089,729411.0196,0.2425,0.0852,13.0194,12.1348
2419,30/06/2001,Stressed,Fixed Income,Hedge Fund,8.518,9.2874,95.7347,109.4381,0.0501,0.7202,0.342,0.0989,0.1042,0.0785,0.253,0.4166,0.3245,0.0276,8.5625,8.7021,95.2547,0.0363,1.8823,1.8507,2.1833,0.0461,0.5194,912.4688,96.7048,108.0667,108.7737,112.844,142.8241,654835.9408,0.2908,0.0419,13.8578,14.2691
2420,06/02/2013,Monte Carlo,Commodity,Large Cap,3.7382,6.5947,97.2393,106.0625,0.0423,1.5416,0.2465,0.071,0.0809,0.0603,0.1932,0.3088,0.5009,0.0486,6.1512,7.9967,95.9734,0.0393,2.1449,1.0591,1.9199,0.0207,0.5885,965.7055,100.1781,123.6588,99.9719,91.7172,130.3135,613749.7079,0.2657,0.0619,14.2262,17.6166
2421,30/07/2014,Base,Commodity,Oil,6.9068,9.6571,86.9535,118.2001,0.0386,0.8746,0.4061,0.0234,0.043,0.022,0.4448,0.4022,0.1254,0.0644,5.0204,5.1,108.6346,0.0456,2.8503,1.9658,3.1854,0.011,0.4745,866.3249,120.5607,113.2239,91.0481,96.3422,148.6369,469032.3362,0.2555,0.0504,12.6733,12.8305
2422,19/04/2026,Monte Carlo,Fixed Income,Gold,4.4618,7.0834,115.8735,100.2373,0.0409,0.5206,0.2479,0.0595,0.0634,0.0933,0.4264,0.2914,0.2918,0.0576,4.8719,8.1502,116.2937,0.0356,2.0124,2.8259,1.8516,0.0462,0.6877,1000.0501,92.964,108.4919,108.7422,118.558,154.9176,459085.6615,0.2501,0.0558,14.1513,15.7887
2423,09/06/2020,Monte Carlo,Fixed Income,Swap,7.1404,8.2061,96.8627,131.5348,0.0391,1.7569,0.2386,0.0442,0.0761,0.032,0.4239,0.3894,0.1981,0.0442,5.9492,7.6193,103.8426,0.0377,2.1222,2.1763,2.0664,0.0091,0.4801,914.1264,91.5468,108.9272,92.4244,107.8111,135.9521,656476.4904,0.3003,0.0411,11.1956,13.2682
2424,11/12/2018,Base,Commodity,Large Cap,4.5495,6.4755,120.9371,129.5701,0.0356,0.9521,0.3745,0.0816,0.0555,0.0903,0.3922,0.3848,0.2431,0.0626,5.9395,5.8229,115.0911,0.0376,2.1336,1.0214,0.9618,0.0366,0.5008,1026.2433,96.2491,99.8616,108.1985,104.1385,132.3636,674045.549,0.2436,0.05,13.8906,14.5092
2425,14/10/2013,Monte Carlo,Alternative,Preferred Stock,6.24,6.9416,87.228,112.838,0.0219,1.9157,0.2367,0.0512,0.0448,0.054,0.4412,0.4429,0.1553,0.0627,4.2879,3.9623,98.3361,0.0406,1.8629,1.9286,1.9659,0.0297,0.5095,929.6665,117.0812,117.8016,102.4522,99.522,154.7787,590844.713,0.2468,0.0389,11.9602,13.038
2426,10/06/2021,Stressed,Derivative,Corporate Bond,9.1217,6.6094,122.7135,109.445,0.0422,0.9424,0.3187,0.0527,0.0574,0.0951,0.458,0.2727,0.2167,0.0566,6.1671,6.9385,112.0962,0.0321,0.9077,1.9012,0.9196,0.0167,0.4459,863.5405,98.2031,106.8199,97.3067,104.4245,156.0463,605740.9929,0.2346,0.0692,13.8574,16.7418
2427,04/11/2023,Monte Carlo,Fixed Income,Hedge Fund,8.0641,6.8303,94.934,99.8983,0.0414,1.5764,0.2983,0.0611,0.0599,0.1025,0.3403,0.262,0.3416,0.0416,5.0601,6.095,102.7345,0.0422,1.8741,2.1449,1.8192,0.0313,0.551,1045.5482,95.9967,91.8769,111.8743,107.8916,139.9198,705228.2218,0.2051,0.0658,14.7327,14.3254
2428,17/02/2004,Monte Carlo,Equity,Option,3.7908,6.2357,131.9212,122.5928,0.0413,1.9316,0.2523,0.046,0.0901,0.0298,0.2985,0.2927,0.4042,0.0676,6.5946,4.5973,117.4812,0.0402,1.826,0.979,0.9807,0.0408,0.5913,931.5911,96.8383,105.1846,92.102,101.5894,128.6729,500315.7359,0.2174,0.0403,13.8224,15.518
2429,22/04/2017,Stressed,Equity,Common Stock,5.3127,5.6205,97.2966,126.7375,0.0536,2.1323,0.2525,0.0928,0.1008,0.0266,0.2475,0.4573,0.3392,0.0445,3.859,4.5643,107.1467,0.0383,1.8813,2.1126,1.066,0.0224,0.406,1118.1157,108.8124,93.2976,101.7569,111.4295,136.0218,606913.9159,0.2917,0.0477,10.9723,11.4325
2430,26/03/2019,Stressed,Equity,Swap,5.8537,8.5396,108.0497,121.2163,0.0481,0.9128,0.2105,0.0229,0.0928,0.0975,0.2459,0.4713,0.2636,0.0528,4.7064,8.6106,96.4973,0.032,2.1542,1.9914,1.842,0.0475,0.7168,1051.4686,105.2029,105.9653,117.5095,122.5558,155.1977,645726.6964,0.3108,0.0503,11.8756,12.4366
2431,12/02/2012,Stressed,Alternative,Government Bond,6.9822,6.1818,110.6792,109.1158,0.0498,1.3276,0.3612,0.0695,0.0676,0.0411,0.2181,0.3837,0.4147,0.074,6.3203,5.2953,97.9031,0.0343,2.7571,2.1391,1.8813,0.0112,0.6768,1000.66,94.694,101.0441,115.1421,123.4331,139.5881,622077.8285,0.1974,0.0655,14.3167,14.9239
2432,28/11/2000,Base,Commodity,Gold,5.6247,9.2572,97.3461,123.0386,0.0288,2.029,0.2079,0.0923,0.0807,0.0639,0.4583,0.2198,0.2889,0.054,7.3933,5.2053,107.1405,0.0509,2.1418,2.8282,1.052,0.023,0.6417,1035.1238,103.0639,102.9649,112.3904,109.7461,132.6817,506226.7148,0.2662,0.07,12.3971,13.9106
2433,06/05/2026,Base,Alternative,Preferred Stock,5.7252,9.5157,96.4551,94.309,0.033,0.4937,0.3545,0.0625,0.0619,0.0491,0.4276,0.3355,0.2577,0.0661,5.4752,5.978,114.3507,0.0335,1.0553,2.7119,0.9909,0.0208,0.6045,943.7616,120.5964,115.5648,108.8363,122.9365,140.5647,622452.1675,0.2629,0.0498,12.7932,13.8984
2434,15/07/2024,Base,Commodity,Common Stock,3.8788,7.4109,133.7709,116.246,0.0198,1.3861,0.3407,0.026,0.0256,0.0837,0.303,0.4835,0.1981,0.0584,6.2971,4.1953,104.5744,0.0452,2.1912,2.1305,1.8411,0.0368,0.5004,1023.4317,99.6845,103.1825,103.4122,103.0406,163.193,527398.0343,0.2402,0.0552,9.6299,11.7583
2435,21/07/2024,Monte Carlo,Commodity,Government Bond,8.743,6.6327,109.1628,139.3283,0.023,0.6657,0.3165,0.0756,0.0778,0.0844,0.2224,0.3718,0.409,0.0641,6.4706,6.2863,107.0076,0.0349,1.8935,2.0134,1.991,0.0408,0.7296,948.5457,110.2445,100.5979,114.0455,122.0883,133.1653,581317.6257,0.2413,0.0732,12.0609,15.2354
2436,17/06/2018,Stressed,Commodity,Large Cap,7.9215,7.175,85.7588,110.0063,0.0252,0.6566,0.3294,0.0983,0.0216,0.0322,0.3097,0.3581,0.3184,0.0423,5.5305,5.5956,101.4622,0.0299,2.8359,1.0804,3.1949,0.0238,0.4066,1159.5612,109.238,107.8661,128.9411,115.2178,139.9199,701928.6872,0.2566,0.0743,12.5933,13.5525
2437,01/10/2014,Stressed,Equity,Future,6.1261,10.4856,125.8831,90.674,0.0206,1.2194,0.2902,0.0999,0.0279,0.0569,0.3071,0.3358,0.4038,0.037,6.7004,5.4818,95.3091,0.0363,2.0678,1.9221,0.9139,0.0389,0.5692,1221.173,115.4097,114.0376,112.5191,101.8706,145.2165,575650.8567,0.2176,0.0383,10.0464,11.1752
2438,26/02/2014,Monte Carlo,Equity,Hedge Fund,4.7595,6.4306,108.9125,126.5336,0.0444,1.9555,0.2307,0.0924,0.0263,0.0732,0.4,0.2968,0.3378,0.0411,3.8054,4.3781,117.0585,0.0408,1.8242,3.0005,0.9522,0.0451,0.6108,1278.1522,112.883,118.5878,101.071,102.6359,161.6774,597034.0505,0.2264,0.063,13.6864,15.5601
2439,03/03/2020,Monte Carlo,Commodity,Option,8.3448,8.1139,100.5827,102.6436,0.035,0.6401,0.2911,0.0564,0.0893,0.0584,0.341,0.4784,0.2007,0.0793,7.2097,5.367,101.0047,0.0431,2.0243,2.1353,2.1296,0.0476,0.4695,929.9909,111.4595,107.0994,107.4205,106.2078,123.23,571711.6244,0.2241,0.0659,11.724,11.8532
2440,29/05/2023,Monte Carlo,Alternative,Municipal Bond,4.2039,7.4298,84.2381,101.6889,0.0416,1.1068,0.2673,0.028,0.0756,0.0241,0.4719,0.2444,0.2705,0.0712,6.4213,7.2038,100.6148,0.0413,1.8577,2.1317,2.1599,0.0393,0.5995,877.9532,117.9124,102.0947,118.6033,109.3616,136.5389,587889.5268,0.3031,0.06,12.7911,15.8436
2441,09/10/2026,Monte Carlo,Derivative,Common Stock,8.3266,7.8063,86.0499,114.4835,0.0254,2.3937,0.3887,0.0874,0.0937,0.0399,0.3825,0.3108,0.325,0.0422,8.4682,4.8462,94.4346,0.0358,1.0852,0.9451,2.1464,0.0231,0.472,1049.1641,94.8253,98.3073,106.274,103.1068,126.4912,470972.4303,0.2275,0.0644,12.9646,12.8072
2442,12/02/2015,Stressed,Equity,Hedge Fund,8.3474,8.1255,98.4005,119.9577,0.0247,1.7019,0.2041,0.0582,0.0842,0.0404,0.5398,0.3649,0.1027,0.0369,8.3301,5.6738,100.2991,0.0344,2.8242,2.7726,1.0519,0.0279,0.5115,907.6895,90.6437,95.4836,103.788,116.0447,136.3947,608036.5792,0.2151,0.0574,11.2593,12.6512
2443,27/07/2012,Stressed,Fixed Income,Common Stock,5.9199,9.1543,109.4757,98.7027,0.0345,2.2957,0.209,0.0207,0.072,0.0808,0.5205,0.4102,0.0546,0.0684,5.9461,6.1185,96.0385,0.0375,2.0574,2.121,2.0588,0.0375,0.6327,945.9975,116.4222,103.7012,118.6969,115.9643,143.9112,725311.0283,0.2565,0.0567,13.0686,12.9966
2444,16/02/2011,Stressed,Equity,Option,4.8205,6.7762,122.1178,112.8018,0.0194,2.3994,0.3244,0.0456,0.0688,0.0565,0.4855,0.1928,0.3235,0.0482,8.2993,6.1716,116.5084,0.0407,2.1145,1.9432,2.0562,0.032,0.6394,949.3817,112.8205,112.0635,99.5643,106.2365,129.2479,495522.6637,0.2269,0.0689,14.2237,17.2016
2445,12/12/2022,Stressed,Fixed Income,Agriculture,7.3932,10.4669,110.5391,118.755,0.0428,1.8286,0.3249,0.0598,0.0559,0.0505,0.333,0.4965,0.1921,0.0459,6.616,6.4084,102.2039,0.037,2.0555,1.8689,2.7143,0.0491,0.6002,1130.9098,110.6546,119.6304,110.9652,98.9095,140.487,615193.2211,0.1902,0.0636,10.7272,11.3172
2446,23/05/2022,Stressed,Alternative,Future,4.691,8.5443,94.4368,121.6095,0.0295,2.0935,0.3939,0.0306,0.0358,0.0266,0.2469,0.4608,0.2785,0.0473,5.9313,4.2392,101.1049,0.0496,2.9517,2.0446,0.9909,0.0333,0.5859,1005.4578,107.1619,104.8471,110.3534,96.9333,133.5561,550925.133,0.2965,0.065,15.6785,17.9281
2447,04/04/2005,Monte Carlo,Fixed Income,Swap,6.9579,6.945,105.0313,114.8032,0.0461,1.5304,0.4044,0.0239,0.0273,0.0614,0.4505,0.2522,0.2529,0.0362,6.3585,5.5856,103.0314,0.0361,0.9961,2.7421,2.9046,0.0258,0.6769,1084.859,111.0297,107.7292,109.432,104.9768,127.4907,491202.3322,0.2739,0.0727,11.7813,12.1715
2448,14/12/2014,Base,Commodity,Gold,5.6013,9.5055,134.7098,129.2239,0.0472,1.7263,0.2315,0.0686,0.0464,0.0489,0.4174,0.4987,0.1112,0.0594,8.5276,5.4114,107.5353,0.0334,1.0266,1.8086,2.013,0.0355,0.5957,1038.942,100.6442,110.9188,100.1851,95.3439,155.9095,588220.2963,0.2189,0.048,13.3712,14.3224
2449,10/12/2013,Base,Equity,Municipal Bond,6.4441,7.9156,102.3733,98.4475,0.034,0.9766,0.239,0.0262,0.0869,0.0436,0.5002,0.2099,0.2625,0.0836,5.1657,7.2405,92.7806,0.0329,0.9871,1.068,1.8679,0.0171,0.4526,1135.901,102.9868,111.7776,116.9689,101.6713,124.9938,723875.4054,0.2968,0.0769,13.489,16.0482
2450,26/05/2005,Stressed,Fixed Income,Option,4.6238,8.3731,85.861,109.139,0.0203,2.181,0.3972,0.0901,0.0429,0.0571,0.4978,0.4839,0.0595,0.0769,5.9177,4.6747,91.6006,0.0461,2.0857,0.9546,2.1633,0.0162,0.7007,1224.2094,112.4889,105.9198,108.5162,104.5034,137.553,614277.6139,0.2111,0.0548,12.9256,13.4828
2451,01/12/2024,Monte Carlo,Equity,Real Estate,4.0678,9.8142,98.6929,87.5781,0.0259,2.3832,0.2434,0.0446,0.0472,0.0361,0.3818,0.2229,0.3882,0.0632,5.9793,6.8533,115.4221,0.0545,1.0734,1.9595,2.9743,0.0363,0.4982,850.737,112.7204,97.6308,99.7538,93.0282,152.1698,518493.5227,0.2222,0.075,12.3305,12.3715
2452,23/10/2001,Base,Commodity,Common Stock,6.3115,9.8717,111.0262,88.8603,0.0362,1.9864,0.3149,0.0893,0.0755,0.0433,0.4568,0.3882,0.1133,0.0571,6.3276,5.7854,103.0762,0.0361,0.9705,1.0222,3.0501,0.0379,0.5051,1286.4587,109.4574,107.8909,115.2063,118.4915,138.8683,573164.4831,0.2785,0.0551,11.5257,10.7159
2453,01/09/2003,Base,Commodity,Real Estate,5.4613,8.6144,113.8846,112.0954,0.0204,1.3102,0.2278,0.039,0.0651,0.0241,0.3978,0.3239,0.1925,0.0514,5.9999,4.0253,117.5785,0.0305,3.0834,1.9289,2.0478,0.0454,0.5286,1055.5586,100.6306,103.1946,102.1305,111.1094,158.1739,529079.8338,0.2463,0.06,13.8211,16.6239
2454,05/08/2001,Stressed,Derivative,Hedge Fund,5.662,10.2269,91.6077,94.4616,0.0227,1.8922,0.359,0.0969,0.061,0.0235,0.3597,0.3747,0.2867,0.0403,7.8169,7.4217,94.5475,0.0486,0.9935,3.176,3.2279,0.0451,0.6094,876.3939,105.6903,117.2851,113.6238,112.0802,125.2259,743866.5768,0.2906,0.0625,9.7903,11.9867
2455,24/03/2011,Stressed,Fixed Income,Hedge Fund,7.7234,9.2739,115.0812,102.813,0.0334,0.923,0.2806,0.0431,0.0374,0.0991,0.4389,0.4217,0.1682,0.053,4.8919,7.9155,111.5058,0.0473,0.9811,2.0251,3.0936,0.0369,0.661,1037.4385,93.4047,99.4762,105.6476,108.2156,154.3751,628038.6879,0.2051,0.0748,13.324,15.2689
2456,29/09/2023,Stressed,Derivative,Common Stock,5.1962,8.0199,104.2799,128.5286,0.0247,2.2147,0.2808,0.0776,0.0452,0.0675,0.4464,0.4879,0.0684,0.0779,8.2563,6.3799,109.9942,0.0459,3.1251,2.1881,1.0024,0.0467,0.6718,819.5648,107.5227,118.5031,104.4526,91.9489,128.9502,616155.9942,0.2448,0.0419,13.6427,12.729
2457,07/01/2007,Monte Carlo,Fixed Income,Agriculture,6.0124,7.3239,96.4928,86.3694,0.0435,1.4332,0.3041,0.0575,0.083,0.073,0.2284,0.3946,0.3432,0.0375,6.8698,6.0906,113.4329,0.0431,2.8348,2.9715,0.901,0.0216,0.6481,827.2527,109.7068,105.6704,115.6289,107.1348,149.1571,596309.3636,0.233,0.0575,15.5844,15.5221
2458,17/06/2007,Stressed,Equity,Corporate Bond,6.4429,6.6773,84.6433,102.8376,0.0243,1.4065,0.2264,0.0225,0.0806,0.0477,0.3312,0.3898,0.2823,0.0579,5.3806,4.9224,107.3246,0.0323,0.9743,1.9027,0.9837,0.0258,0.3902,954.345,118.4714,118.0014,110.3058,102.899,149.473,649541.1984,0.2275,0.0629,13.9971,14.1131
2459,08/06/2014,Base,Derivative,Private Equity,6.3649,9.4032,98.6236,86.1957,0.0465,2.5,0.3103,0.0271,0.0645,0.0706,0.3589,0.4411,0.1534,0.0713,8.7283,5.197,106.2174,0.0398,2.1756,1.859,2.7057,0.0485,0.6209,846.8193,86.7682,88.265,92.2102,105.4497,132.7984,647216.438,0.2377,0.0624,10.9528,13.733
2460,05/06/2008,Stressed,Derivative,Common Stock,8.6452,7.7091,125.0478,127.3795,0.0461,1.9165,0.2175,0.0972,0.0689,0.104,0.329,0.2364,0.4175,0.0655,7.1947,7.2354,112.9697,0.0384,2.1473,2.1555,1.0507,0.0516,0.5179,1086.2141,105.842,106.5046,105.4651,93.3984,131.992,642664.8757,0.3058,0.0411,12.0552,11.9743
2461,18/06/2002,Stressed,Equity,Private Equity,7.974,8.4651,104.3514,96.7775,0.0454,0.8887,0.3266,0.0503,0.0245,0.0331,0.1984,0.2986,0.4498,0.0398,5.4092,7.3323,101.2537,0.0451,2.1352,2.1364,3.0709,0.0364,0.5172,1205.8416,112.4965,111.1303,104.7405,111.1132,124.8272,571326.0244,0.3099,0.0516,9.6994,11.9796
2462,19/09/2001,Stressed,Commodity,Option,4.8393,8.6376,125.7689,110.5304,0.0445,2.2692,0.2147,0.0675,0.0606,0.0836,0.3788,0.3425,0.2447,0.0592,7.5868,5.1334,103.0575,0.0444,1.0153,1.8743,1.9968,0.0495,0.6236,1142.2142,99.377,97.189,101.1262,107.8005,144.1068,593052.3002,0.2213,0.0414,13.3014,13.5465
2463,21/03/2003,Base,Equity,Oil,7.2975,10.0815,115.8681,96.4636,0.0402,1.5186,0.2359,0.1007,0.0915,0.0336,0.5157,0.4826,0.0411,0.0458,5.8239,7.8694,93.9898,0.0383,2.7394,2.0286,3.0535,0.0428,0.5316,1117.8787,101.2197,107.6297,121.7011,113.7378,126.5669,714643.3021,0.2274,0.0544,14.9604,14.6776
2464,04/10/2004,Monte Carlo,Commodity,Oil,7.6903,8.1556,115.9035,130.0005,0.0421,0.7683,0.2526,0.0324,0.0227,0.0506,0.3769,0.2103,0.3714,0.0651,7.3207,5.1792,107.064,0.0534,2.7585,1.9292,0.939,0.0197,0.6242,881.398,113.6188,113.1273,111.6165,103.0354,126.7005,750243.1598,0.2277,0.0638,14.1058,17.2426
2465,01/01/2009,Base,Fixed Income,Swap,5.2835,8.1957,85.6008,102.8566,0.0334,1.8724,0.2993,0.0734,0.0605,0.0571,0.2035,0.3636,0.4161,0.0338,5.489,4.8357,111.936,0.03,2.9137,1.932,2.73,0.0424,0.4319,993.8409,99.2706,89.0841,100.2491,101.8348,145.3284,531512.21,0.2278,0.0645,13.0413,14.9736
2466,08/07/2011,Base,Commodity,Swap,7.9775,7.7291,110.3388,125.8409,0.0306,2.4607,0.3695,0.0409,0.0659,0.1009,0.3404,0.4496,0.2225,0.0642,5.1533,6.5661,93.928,0.0508,2.8955,0.9462,2.1627,0.0403,0.5148,1121.9253,118.925,123.6688,115.8284,116.363,123.6967,581298.5421,0.2091,0.047,9.2847,9.8219
2467,20/09/2013,Monte Carlo,Commodity,Private Equity,9.2251,7.6263,111.4717,114.4348,0.047,1.9366,0.335,0.1019,0.0441,0.087,0.2721,0.4822,0.2722,0.048,4.6628,7.3793,110.4616,0.0498,2.1724,2.1725,1.8807,0.0403,0.4652,943.9413,104.1052,114.8071,96.8788,107.7216,150.9457,476665.2694,0.2495,0.0762,12.6168,14.7633
2468,02/11/2009,Base,Fixed Income,Corporate Bond,4.6138,7.0059,134.1039,121.8787,0.0344,2.3029,0.3168,0.0895,0.0721,0.0289,0.4485,0.3251,0.2451,0.0713,5.4472,4.0575,102.5247,0.0317,1.9024,1.9287,2.1808,0.0481,0.6768,1231.4142,102.7569,106.0067,111.631,111.619,155.2326,551016.0718,0.2839,0.0536,11.4466,12.5807
2469,01/12/2005,Monte Carlo,Equity,Hedge Fund,8.0236,6.5365,121.021,114.7915,0.0271,0.8697,0.2839,0.0591,0.0806,0.0791,0.2924,0.2298,0.5106,0.0355,7.9435,6.1333,105.833,0.0379,1.8806,1.9918,3.0487,0.0429,0.6026,940.1686,102.1937,112.8612,108.4013,112.6904,141.894,733572.5009,0.2044,0.0644,9.8635,10.3578
2470,01/04/2025,Base,Equity,Option,5.0507,6.5933,117.1712,124.324,0.0239,1.3383,0.2607,0.059,0.0672,0.046,0.303,0.2342,0.4832,0.06,6.5904,5.4645,96.9311,0.0338,3.0563,1.0112,2.1977,0.0226,0.4947,1095.4191,110.6522,106.6209,124.5006,105.9866,141.6309,615896.0896,0.2471,0.07,11.56,10.8321
2471,21/10/2014,Base,Commodity,Future,7.8476,8.7697,100.8831,115.2669,0.0378,1.8951,0.3042,0.0949,0.0858,0.0616,0.2559,0.4812,0.3048,0.0734,6.3553,6.1335,100.6957,0.0426,1.9738,0.9265,1.0471,0.0436,0.5394,1265.311,97.675,94.4614,115.7248,111.7028,150.1572,621356.1672,0.2096,0.0548,11.5581,12.0844
2472,20/10/2014,Base,Commodity,Government Bond,6.1565,7.4739,94.7127,116.6829,0.0444,0.5147,0.3678,0.0357,0.0364,0.0428,0.3025,0.3576,0.3388,0.0406,5.7186,7.5352,97.865,0.0307,1.8582,2.0452,3.1358,0.0157,0.6267,971.3516,94.5139,99.863,122.6403,114.7924,153.9415,601539.2161,0.2703,0.0753,11.3305,14.5842
2473,12/03/2007,Stressed,Equity,Large Cap,4.9453,7.1839,101.1941,104.1527,0.0476,2.0269,0.3277,0.0724,0.024,0.0637,0.3473,0.2667,0.3827,0.0467,4.9368,6.5977,106.752,0.0427,1.9966,0.953,2.9937,0.0175,0.4124,1017.7008,101.9088,100.1224,126.7868,111.468,144.9566,535015.3124,0.2438,0.074,11.2102,14.3641
2474,16/09/2001,Base,Fixed Income,Real Estate,8.4485,9.0907,122.9378,110.824,0.022,2.0141,0.2744,0.0663,0.0432,0.0433,0.4193,0.4459,0.1318,0.0634,5.2456,3.731,101.8841,0.0429,1.9623,0.9352,2.914,0.0314,0.5605,1087.6431,96.4688,113.1948,100.0663,98.9357,137.7129,540892.4782,0.2776,0.0556,12.3437,14.5819
2475,17/12/2026,Base,Alternative,Government Bond,7.9874,7.9763,97.6139,118.9882,0.0402,2.1475,0.2934,0.0961,0.0643,0.0355,0.4878,0.4172,0.0914,0.037,8.57,6.6533,116.3608,0.0373,2.1302,2.0065,1.9444,0.0439,0.4674,1074.2174,98.5,96.4443,122.0304,113.5151,128.53,687605.6192,0.265,0.0527,13.0728,13.5113
2476,01/06/2012,Base,Commodity,Municipal Bond,7.8501,6.3063,87.094,105.3875,0.023,1.7897,0.3614,0.0486,0.0697,0.0594,0.3094,0.4356,0.2223,0.0535,7.5273,7.9462,103.686,0.0421,1.8273,2.9966,3.0186,0.0202,0.5256,1202.5043,112.996,117.704,111.2922,105.1319,141.0117,618280.1122,0.3139,0.0537,12.5542,12.897
2477,09/04/2010,Stressed,Derivative,Swap,5.7141,7.9139,111.7244,116.8146,0.0376,0.9579,0.3615,0.0559,0.0284,0.0931,0.3829,0.3908,0.169,0.0541,6.1973,6.1676,107.5331,0.0413,3.1806,1.0787,1.0819,0.0382,0.4945,1088.6958,95.0364,101.7114,113.8633,117.6548,148.2531,571503.713,0.2463,0.0487,12.6784,13.2653
2478,04/10/2017,Stressed,Derivative,Agriculture,6.4709,9.2629,119.3625,106.777,0.0211,0.6267,0.316,0.0753,0.0879,0.0301,0.3272,0.354,0.3029,0.0445,4.1617,5.3554,98.7009,0.046,3.1794,3.2662,2.9767,0.0398,0.6361,925.368,95.7692,104.9807,112.4637,93.6116,139.0563,689921.4431,0.2414,0.0583,10.5029,12.4028
2479,02/11/2017,Stressed,Commodity,Oil,7.1047,6.6151,124.6748,125.5701,0.0447,1.7735,0.3601,0.0312,0.0715,0.0876,0.3114,0.3414,0.3668,0.037,8.3616,6.2586,100.3103,0.0464,1.8283,0.9865,2.0738,0.0193,0.5853,1075.2921,118.3634,100.2836,128.618,114.1973,144.785,583213.9346,0.3085,0.0737,10.7793,12.1407
2480,09/12/2014,Monte Carlo,Fixed Income,Corporate Bond,5.2182,10.17,113.0911,109.6824,0.0357,1.9285,0.256,0.07,0.0275,0.0453,0.2373,0.3699,0.3804,0.0497,7.1319,4.3909,96.1752,0.035,2.9269,2.8402,0.97,0.0395,0.4602,922.0532,98.7426,93.2042,93.4711,110.2393,151.3901,468365.7997,0.2449,0.0708,13.7226,12.9423
2481,20/01/2018,Stressed,Fixed Income,Gold,6.894,8.5683,110.6705,99.2451,0.0376,2.2381,0.2486,0.0215,0.0365,0.0466,0.443,0.3683,0.219,0.0725,6.5206,6.4744,98.2607,0.0322,1.9832,3.0776,1.8221,0.0384,0.6206,1083.2333,92.8456,108.0865,114.6648,112.5646,136.3724,691757.0106,0.2079,0.0547,13.5185,13.2063
2482,09/06/2023,Stressed,Derivative,Preferred Stock,8.9649,6.1484,94.2341,133.8341,0.0548,1.107,0.2706,0.0251,0.0555,0.0769,0.2546,0.4069,0.3552,0.031,5.4758,5.4753,114.161,0.0365,1.923,1.8221,2.0558,0.0356,0.6469,938.89,97.8597,96.2225,108.024,100.9938,142.9998,569322.012,0.2457,0.085,13.738,14.7802
2483,30/03/2005,Monte Carlo,Equity,Municipal Bond,8.9696,9.5764,114.0847,119.6625,0.0454,2.0269,0.3392,0.071,0.0855,0.0393,0.4351,0.4495,0.0952,0.0662,8.3624,6.2494,98.4171,0.0407,2.8923,2.0366,3.0126,0.0322,0.4615,1008.8162,105.4233,107.813,118.7769,125.8376,137.3475,518340.0279,0.2222,0.0747,12.1625,12.4187
2484,03/12/2010,Base,Derivative,Common Stock,4.6809,5.7471,131.5431,120.9348,0.0236,2.0271,0.2601,0.0887,0.0672,0.0883,0.206,0.4227,0.3663,0.054,6.6509,6.8926,100.1598,0.0318,3.0272,3.0327,3.0115,0.0233,0.5597,923.2858,97.7159,102.4942,120.6327,111.6299,138.6532,634395.5646,0.1925,0.0846,11.2013,13.0023
